deck_id,card_id
A1,1
A1,2
A1,3
A1,4
A1,5
A1,6
A1,7
A1,8
A1,9
A1,10
A1,11
A1,12
A1,13
A1,14
A1,15
A1,16
A1,17
A1,18
A1,19
A1,20
A1,21
A1,22
A1,23
A1,24
A1,25
A1,26
A1,27
A1,28
A1,29
A1,30
A1,31
A1,32
A1,33
A1,34
A1,35
A1,36
A1,37
A1,38
A1,39
A1,40
A1,41
A1,42
A1,43
A1,44
A1,45
A1,46
A1,47
A1,48
A1,49
A1,50
A1,51
A1,52
A1,53
A1,54
A1,55
A1,56
A1,57
A1,58
A1,59
A1,60
A1,61
A1,62
A1,63
A1,64
A1,65
A1,66
A1,67
A1,68
A1,69
A1,70
A1,71
A1,72
A1,73
A1,74
A1,75
A1,76
A1,77
A1,78
A1,79
A1,80
A1,81
A1,82
A1,83
A1,84
A1,85
A1,86
A1,87
A1,88
A1,89
A1,90
A1,91
A1,92
A1,93
A1,94
A1,95
A1,96
A1,97
A1,98
A1,99
A1,100
A1,101
A1,102
A1,103
A1,104
A1,105
A1,106
A1,107
A1,108
A1,109
A1,110
A1,111
A1,112
A1,113
A1,114
A1,115
A1,116
A1,117
A1,118
A1,119
A1,120
A1,121
A1,122
A1,123
A1,124
A1,125
A1,126
A1,127
A1,128
A1,129
A1,130
A1,131
A1,132
A1,133
A1,134
A1,135
A1,136
A1,137
A1,138
A1,139
A1,140
A1,141
A1,142
A1,143
A1,144
A1,145
A1,146
A1,147
A1,148
A1,149
A1,150
A1,151
A1,152
A1,153
A1,154
A1,155
A1,156
A1,157
A1,158
A1,159
A1,160
A1,161
A1,162
A1,163
A1,164
A1,165
A1,166
A1,167
A1,168
A1,169
A1,170
A1,171
A1,172
A1,173
A1,174
A1,175
A1,176
A1,177
A1,178
A1,179
A1,180
A1,181
A1,182
A1,183
A1,184
A1,185
A1,186
A1,187
A1,188
A1,189
A1,190
A1,191
A1,192
A1,193
A1,194
A1,195
A1,196
A1,197
A1,198
A1,199
A1,200
A1,201
A1,202
A1,203
A1,204
A1,205
A1,206
A1,207
A1,208
A1,209
A1,210
A1,211
A1,212
A1,213
A1,214
A1,215
A1,216
A1,217
A1,218
A1,219
A1,220
A1,221
A1,222
A1,223
A1,224
A1,225
A1,226
A1,227
A1,228
A1,229
A1,230
A1,231
A1,232
A1,233
A1,234
A1,235
A1,236
A1,237
A1,238
A1,239
A1,240
A1,241
A1,242
A1,243
A1,244
A1,245
A1,246
A1,247
A1,248
A1,249
A1,250
A1,251
A1,252
A1,253
A1,254
A1,255
A1,256
A1,257
A1,258
A1,259
A1,260
A1,261
A1,262
A1,263
A1,264
A1,265
A1,266
A1,267
A1,268
A1,269
A1,270
A1,271
A1,272
A1,273
A1,274
A1,275
A1,276
A1,277
A1,278
A1,279
A1,280
A1,281
A1,282
A1,283
A1,284
A1,285
A1,286
A2,1
A2,2
A2,3
A2,4
A2,5
A2,6
A2,7
A2,8
A2,9
A2,10
A2,11
A2,12
